country,date,Unnamed: 0,Confirmed,Deaths,Last Update,Latitude,Longitude,province,Recovered,name,pop2020,confirmed_percent,% Confirmed,confirmed_per_Thousand,mortality_percent,% Mortality,% Death,active,active_percent,% Active,active_per_Thousand,recovered_per_Thousand,recovered_percent,% Recovered,days1,days100
Mainland China,2020-02-21,1960,245.0,1.0,2020-02-21T11:43:01,,,Shaanxi,134.0,Mainland China,1439323.7759999998,1.702188236484742e-07,1.7021882364847422e-05,0.0001702188236484742,0.004081632653061225,0.4081632653061225,2.8357988113031935e-10,111.0,7.711954867339035e-08,7.711954867339035e-06,7.711954867339035e-05,9.309927497508384e-05,9.309927497508386e-08,9.309927497508384e-06,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1962,174.0,2.0,2020-02-21T06:23:04,,,Yunnan,96.0,Mainland China,1439323.7759999998,1.2089010332585516e-07,1.2089010332585514e-05,0.00012089010332585514,0.011494252873563218,1.1494252873563218,7.985870215738878e-10,78.0,5.419211528400403e-08,5.4192115284004035e-06,5.419211528400404e-05,6.669798804185112e-05,6.669798804185113e-08,6.669798804185113e-06,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1963,168.0,4.0,2020-02-21T10:13:09,,,Hainan,95.0,Mainland China,1439323.7759999998,1.1672147907323947e-07,1.1672147907323946e-05,0.00011672147907323944,0.023809523809523808,2.380952380952381,1.6542159732601965e-09,73.0,5.071826174015762e-08,5.071826174015761e-06,5.0718261740157615e-05,6.600321733308184e-05,6.600321733308184e-08,6.600321733308184e-06,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1964,146.0,2.0,2020-02-21T12:53:01,,,Guizhou,77.0,Mainland China,1439323.7759999998,1.0143652348031523e-07,1.0143652348031523e-05,0.00010143652348031523,0.0136986301369863,1.3698630136986298,9.517406969442224e-10,69.0,4.7939178905080486e-08,4.793917890508049e-06,4.7939178905080484e-05,5.3497344575234746e-05,5.349734457523476e-08,5.3497344575234746e-06,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1965,132.0,0.0,2020-02-21T23:33:06,,,Shanxi,78.0,Mainland China,1439323.7759999998,9.170973355754527e-08,9.170973355754531e-06,9.170973355754527e-05,0.0,0.0,0.0,54.0,3.7517618273541246e-08,3.7517618273541253e-06,3.751761827354125e-05,5.419211528400404e-05,5.419211528400403e-08,5.4192115284004035e-06,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1966,132.0,3.0,2020-02-21T12:53:01,,,Tianjin,62.0,Mainland China,1439323.7759999998,9.170973355754527e-08,9.170973355754531e-06,9.170973355754527e-05,0.022727272727272728,2.272727272727273,1.5790243381120058e-09,70.0,4.8633949613849784e-08,4.863394961384979e-06,4.863394961384978e-05,4.3075783943695506e-05,4.307578394369552e-08,4.307578394369551e-06,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1967,121.0,1.0,2020-02-21T01:33:02,,,Liaoning,61.0,Mainland China,1439323.7759999998,8.406725576108317e-08,8.406725576108318e-06,8.406725576108318e-05,0.008264462809917356,0.8264462809917356,5.741906684043658e-10,60.0,4.168624252615695e-08,4.168624252615695e-06,4.1686242526156954e-05,4.238101323492623e-05,4.238101323492623e-08,4.238101323492623e-06,31,31 days 00:00:00.000000000
Mainland China,2020-02-22,2026,64084.0,2346.0,2020-02-22T23:33:06,,,Hubei,15299.0,Mainland China,1439323.7759999998,4.45236861007707e-05,0.00445236861007707,0.0445236861007707,0.03660820173522252,3.660820173522252,2.543430626634943e-09,48785.0,3.389438902730945e-05,0.003389438902730945,0.033894389027309436,0.010629297073461252,1.0629297073461252e-05,0.0010629297073461252,32,32 days 00:00:00.000000000
Mainland China,2020-02-22,2027,1339.0,5.0,2020-02-22T10:03:04,,,Guangdong,728.0,Mainland China,1439323.7759999998,9.302979790420693e-07,9.302979790420692e-05,0.0009302979790420694,0.003734129947722181,0.3734129947722181,2.594364110415544e-10,611.0,4.2450490305803157e-07,4.245049030580316e-05,0.00042450490305803165,0.0005057930759840377,5.057930759840376e-07,5.057930759840376e-05,32,32 days 00:00:00.000000000
Mainland China,2020-02-22,2028,1270.0,19.0,2020-02-22T14:13:38,,,Henan,830.0,Mainland China,1439323.7759999998,8.823588001369888e-07,8.823588001369889e-05,0.0008823588001369886,0.01496062992125984,1.4960629921259845,1.0394207454028637e-09,440.0,3.056991118584843e-07,3.056991118584843e-05,0.00030569911185848427,0.0005766596882785045,5.766596882785043e-07,5.766596882785044e-05,32,32 days 00:00:00.000000000
Mainland China,2020-02-22,2029,1205.0,1.0,2020-02-22T11:13:13,,,Zhejiang,719.0,Mainland China,1439323.7759999998,8.371987040669856e-07,8.371987040669853e-05,0.0008371987040669853,0.0008298755186721991,0.08298755186721991,5.765732022981597e-11,486.0,3.376585644618713e-07,3.376585644618713e-05,0.0003376585644618713,0.0004995401396051142,4.995401396051142e-07,4.995401396051141e-05,32,32 days 00:00:00.000000000
Mainland China,2020-02-22,2030,1013.0,4.0,2020-02-22T10:03:04,,,Hunan,692.0,Mainland China,1439323.7759999998,7.038027279832832e-07,7.038027279832832e-05,0.0007038027279832831,0.003948667324777886,0.3948667324777887,2.74341839593004e-10,321.0,2.2302139751493968e-07,2.2302139751493968e-05,0.0002230213975149397,0.00048078133046834345,4.807813304683435e-07,4.807813304683436e-05,32,32 days 00:00:00.000000000
Mainland China,2020-02-22,2031,989.0,6.0,2020-02-22T07:43:03,,,Anhui,597.0,Mainland China,1439323.7759999998,6.871282309728204e-07,6.871282309728204e-05,0.0006871282309728204,0.006066734074823054,0.6066734074823054,4.21498913307957e-10,392.0,2.7235011783755875e-07,2.7235011783755875e-05,0.0002723501178375587,0.0004147781131352616,4.147781131352616e-07,4.147781131352616e-05,32,32 days 00:00:00.000000000
Mainland China,2020-02-22,2032,934.0,1.0,2020-02-22T06:13:05,,,Jiangxi,555.0,Mainland China,1439323.7759999998,6.489158419905099e-07,6.489158419905099e-05,0.0006489158419905098,0.0010706638115631694,0.10706638115631692,7.438658552133646e-11,379.0,2.633180986235581e-07,2.633180986235581e-05,0.00026331809862355807,0.00038559774336695176,3.855977433669518e-07,3.8559774336695175e-05,32,32 days 00:00:00.000000000
Mainland China,2020-02-22,2033,750.0,4.0,2020-02-22T09:43:02,,,Shandong,302.0,Mainland China,1439323.7759999998,5.210780315769619e-07,5.2107803157696194e-05,0.0005210780315769619,0.005333333333333333,0.5333333333333333,3.70544378010284e-10,448.0,3.1125727752863863e-07,3.1125727752863856e-05,0.00031125727752863853,0.0002098207540483233,2.0982075404832333e-07,2.098207540483233e-05,32,32 days 00:00:00.000000000
Mainland China,2020-02-22,2035,631.0,0.0,2020-02-22T07:43:03,,,Jiangsu,401.0,Mainland China,1439323.7759999998,4.3840031723341723e-07,4.384003172334172e-05,0.0004384003172334173,0.0,0.0,0.0,230.0,1.5979726301693498e-07,1.5979726301693498e-05,0.00015979726301693496,0.0002786030542164822,2.786030542164823e-07,2.786030542164823e-05,32,32 days 00:00:00.000000000
Mainland China,2020-02-22,2036,573.0,6.0,2020-02-22T23:23:05,,,Chongqing,328.0,Mainland China,1439323.7759999998,3.981036161247989e-07,3.981036161247988e-05,0.0003981036161247989,0.010471204188481676,1.0471204188481675,7.275085955699294e-10,245.0,1.702188236484742e-07,1.7021882364847422e-05,0.0001702188236484742,0.00022788479247632466,2.2788479247632466e-07,2.278847924763247e-05,32,32 days 00:00:00.000000000
Mainland China,2020-02-22,2037,526.0,3.0,2020-02-22T13:03:03,,,Sichuan,250.0,Mainland China,1439323.7759999998,3.6544939281264256e-07,3.654493928126426e-05,0.00036544939281264255,0.005703422053231939,0.5703422053231939,3.962570582334311e-10,276.0,1.91756715620322e-07,1.91756715620322e-05,0.000191756715620322,0.00017369267719232061,1.7369267719232064e-07,1.736926771923206e-05,32,32 days 00:00:00.000000000
Mainland China,2020-02-22,2038,479.0,12.0,2020-02-22T11:13:13,,,Heilongjiang,204.0,Mainland China,1439323.7759999998,3.3279516950048627e-07,3.3279516950048636e-05,0.00033279516950048633,0.025052192066805846,2.5052192066805845,1.7405529238478892e-09,275.0,1.910619449115527e-07,1.910619449115527e-05,0.0001910619449115527,0.00014173322458893358,1.4173322458893365e-07,1.4173322458893366e-05,32,32 days 00:00:00.000000000
Mainland China,2020-02-22,2040,399.0,4.0,2020-02-22T02:23:05,,,Beijing,178.0,Mainland China,1439323.7759999998,2.772135127989437e-07,2.772135127989437e-05,0.0002772135127989437,0.010025062656641605,1.0025062656641603,6.965119887411352e-10,221.0,1.5354432663801145e-07,1.5354432663801144e-05,0.00015354432663801146,0.0001236691861609323,1.236691861609323e-07,1.236691861609323e-05,32,32 days 00:00:00.000000000
