country,date,Unnamed: 0,Confirmed,Deaths,Last Update,Latitude,Longitude,province,Recovered,name,pop2020,confirmed_percent,% Confirmed,days100
Denmark,2020-03-12,4954,615.0,0.0,2020-03-12T09:53:06,56.2639,9.5018,Denmark,1.0,Denmark,5792.201999999999,0.00010617723622207929,0.010617723622207928,3
Denmark,2020-03-13,5238,801.0,0.0,2020-03-11T20:00:00,56.2639,9.5018,Denmark,1.0,Denmark,5792.201999999999,0.0001382893759575374,0.013828937595753741,4
Denmark,2020-03-14,5401,827.0,1.0,2020-03-14T22:13:32,56.2639,9.5018,Denmark,1.0,Denmark,5792.201999999999,0.00014277816968399928,0.014277816968399928,5
Egypt,2020-03-14,5447,109.0,2.0,2020-03-14T22:33:03,26.8206,30.8025,,27.0,Egypt,102334.40400000001,1.0651354357816946e-06,0.00010651354357816946,1
Estonia,2020-03-14,5443,115.0,0.0,2020-03-14T20:33:03,58.5953,25.0136,,0.0,Estonia,1326.535,8.669202094177688e-05,0.008669202094177687,1
Finland,2020-03-13,5294,155.0,0.0,2020-03-11T20:00:00,61.9241,25.7482,,1.0,Finland,5540.72,2.797470364862328e-05,0.002797470364862328,1
Finland,2020-03-14,5423,225.0,0.0,2020-03-14T22:33:03,61.9241,25.7482,,1.0,Finland,5540.72,4.0608440780259604e-05,0.004060844078025961,2
France,2020-02-29,2729,100.0,2.0,2020-02-29T19:03:04,,,,12.0,France,65273.511,1.5320150313348396e-06,0.00015320150313348396,1
France,2020-03-01,2846,130.0,2.0,2020-03-01T20:43:02,47.0,2.0,,12.0,France,65273.511,1.991619540735292e-06,0.00019916195407352914,2
France,2020-03-02,2966,191.0,3.0,2020-03-02T20:33:02,47.0,2.0,,12.0,France,65273.511,2.9261487098495438e-06,0.0002926148709849544,3
France,2020-03-03,3107,204.0,4.0,2020-03-03T15:23:03,47.0,2.0,,12.0,France,65273.511,3.125310663923073e-06,0.00031253106639230735,4
France,2020-03-04,3256,285.0,4.0,2020-03-04T20:43:02,47.0,2.0,,12.0,France,65273.511,4.366242839304293e-06,0.0004366242839304293,5
France,2020-03-05,3413,377.0,6.0,2020-03-05T15:13:22,47.0,2.0,,12.0,France,65273.511,5.7756966681323445e-06,0.0005775696668132345,6
France,2020-03-06,3581,653.0,9.0,2020-03-06T20:13:13,47.0,2.0,,12.0,France,65273.511,1.0004058154616505e-05,0.0010004058154616502,7
France,2020-03-07,3776,949.0,11.0,2020-03-07T20:33:02,47.0,2.0,,12.0,France,65273.511,1.4538822647367628e-05,0.0014538822647367628,8
France,2020-03-08,3999,1126.0,19.0,2020-03-08T18:03:04,47.0,2.0,,12.0,France,65273.511,1.7250489252830295e-05,0.0017250489252830295,9
France,2020-03-09,4254,1209.0,19.0,2020-03-09T00:43:03,47.0,2.0,,12.0,France,65273.511,1.852206172883821e-05,0.001852206172883821,10
France,2020-03-10,4517,1784.0,33.0,2020-03-10T18:53:02,47.0,2.0,,12.0,France,65273.511,2.733114815901354e-05,0.002733114815901354,11
France,2020-03-11,4723,2281.0,48.0,2020-03-11T22:53:03,46.2276,2.2137,France,12.0,France,65273.511,3.4945262864747694e-05,0.0034945262864747697,12
France,2020-03-12,4939,2281.0,48.0,2020-03-11T22:53:03,46.2276,2.2137,France,12.0,France,65273.511,3.4945262864747694e-05,0.0034945262864747697,13
France,2020-03-13,5232,3661.0,79.0,2020-03-11T20:00:00,46.2276,2.2137,France,12.0,France,65273.511,5.6087070297168484e-05,0.005608707029716848,14
France,2020-03-14,5389,4469.0,91.0,2020-03-14T20:13:16,46.2276,2.2137,France,12.0,France,65273.511,6.846575175035399e-05,0.006846575175035397,15
Germany,2020-03-01,2847,130.0,0.0,2020-03-01T23:23:02,51.0,9.0,,16.0,Germany,83783.942,1.5516099731855542e-06,0.0001551609973185554,1
Germany,2020-03-02,2969,159.0,0.0,2020-03-02T20:33:02,51.0,9.0,,16.0,Germany,83783.942,1.8977383518192542e-06,0.00018977383518192545,2
Germany,2020-03-03,3108,196.0,0.0,2020-03-03T20:03:06,51.0,9.0,,16.0,Germany,83783.942,2.3393504211105273e-06,0.00023393504211105268,3
Germany,2020-03-04,3257,262.0,0.0,2020-03-04T19:33:03,51.0,9.0,,16.0,Germany,83783.942,3.1270908690355007e-06,0.00031270908690355016,4
