,date,country,Confirmed,Deaths,Recovered,name,pop2020,PercentOfPopulationConfirmedDecimal,PercentOfPopulationConfirmed,MortalityDecimal,MortalityPercent,active,PercentOfPopulationActiveDecimal,PercentOfPopulationActive,PercentOfPopulationRecoveredDecimal,PercentOfPopulationRecovered
92,2020-01-28,Nepal,1.0,0.0,0.0,Nepal,29136.808,3.4320849421803517e-08,3.4320849421803515e-06,0.0,0.0,1.0,3.4320849421803517e-08,3.4320849421803515e-06,0.0,0.0
93,2020-01-28,Singapore,7.0,0.0,0.0,Singapore,5850.342,1.1965112466929285e-06,0.00011965112466929284,0.0,0.0,7.0,1.1965112466929285e-06,0.00011965112466929284,0.0,0.0
94,2020-01-28,South Korea,4.0,0.0,0.0,South Korea,51269.185,7.80195745261018e-08,7.80195745261018e-06,0.0,0.0,4.0,7.80195745261018e-08,7.80195745261018e-06,0.0,0.0
95,2020-01-28,Sri Lanka,1.0,0.0,0.0,Sri Lanka,21413.249,4.6700059388465526e-08,4.670005938846553e-06,0.0,0.0,1.0,4.6700059388465526e-08,4.670005938846553e-06,0.0,0.0
96,2020-01-28,Taiwan,8.0,0.0,0.0,Taiwan,23816.775,3.3589770235474784e-07,3.3589770235474786e-05,0.0,0.0,8.0,3.3589770235474784e-07,3.3589770235474786e-05,0.0,0.0
97,2020-01-28,Thailand,14.0,0.0,5.0,Thailand,69799.978,2.005731291204705e-07,2.005731291204705e-05,0.0,0.0,9.0,1.2893986872030246e-07,2.005731291204705e-05,7.163326040016803e-08,7.163326040016803e-06
98,2020-01-28,US,5.0,0.0,0.0,US,331002.651,1.5105619199406353e-08,1.5105619199406354e-06,0.0,0.0,5.0,1.5105619199406353e-08,1.5105619199406354e-06,0.0,0.0
99,2020-01-28,Vietnam,2.0,0.0,0.0,Vietnam,97338.579,2.0546837857577518e-08,2.054683785757752e-06,0.0,0.0,2.0,2.0546837857577518e-08,2.054683785757752e-06,0.0,0.0
100,2020-01-29,Australia,5.0,0.0,0.0,Australia,25499.884,1.9607932334123559e-07,1.9607932334123557e-05,0.0,0.0,5.0,1.9607932334123559e-07,1.9607932334123557e-05,0.0,0.0
101,2020-01-29,Cambodia,1.0,0.0,0.0,Cambodia,16718.965,5.981231493695932e-08,5.981231493695932e-06,0.0,0.0,1.0,5.981231493695932e-08,5.981231493695932e-06,0.0,0.0
102,2020-01-29,Canada,2.0,0.0,0.0,Canada,37742.154,5.2991146186304044e-08,5.299114618630404e-06,0.0,0.0,2.0,5.2991146186304044e-08,5.299114618630404e-06,0.0,0.0
103,2020-01-29,Finland,1.0,0.0,0.0,Finland,5540.72,1.8048195902337602e-07,1.8048195902337603e-05,0.0,0.0,1.0,1.8048195902337602e-07,1.8048195902337603e-05,0.0,0.0
104,2020-01-29,France,5.0,0.0,0.0,France,65273.511,7.660075156674198e-08,7.660075156674198e-06,0.0,0.0,5.0,7.660075156674198e-08,7.660075156674198e-06,0.0,0.0
105,2020-01-29,Germany,4.0,0.0,0.0,Germany,83783.942,4.774184532878627e-08,4.7741845328786275e-06,0.0,0.0,4.0,4.774184532878627e-08,4.7741845328786275e-06,0.0,0.0
106,2020-01-29,Hong Kong,10.0,0.0,0.0,Hong Kong,7496.981,1.333870260575557e-06,0.0001333870260575557,0.0,0.0,10.0,1.333870260575557e-06,0.0001333870260575557,0.0,0.0
107,2020-01-29,Japan,7.0,0.0,1.0,Japan,126476.461,5.534626716033745e-08,5.534626716033744e-06,0.0,0.0,6.0,4.743965756600353e-08,5.534626716033744e-06,7.906609594333921e-09,7.906609594333921e-07
108,2020-01-29,Macau,7.0,0.0,0.0,Macau,649.335,1.0780259804261282e-05,0.0010780259804261281,0.0,0.0,7.0,1.0780259804261282e-05,0.0010780259804261281,0.0,0.0
109,2020-01-29,Mainland China,6070.0,133.0,120.0,Mainland China,1439323.776,4.217258202229545e-06,0.0004217258202229545,0.021911037891268532,2.191103789126853,5950.0,4.133885717177231e-06,0.0004217258202229545,8.33724850523139e-08,8.33724850523139e-06
110,2020-01-29,Malaysia,7.0,0.0,0.0,Malaysia,32365.999,2.1627634605068114e-07,2.1627634605068115e-05,0.0,0.0,7.0,2.1627634605068114e-07,2.1627634605068115e-05,0.0,0.0
111,2020-01-29,Nepal,1.0,0.0,0.0,Nepal,29136.808,3.4320849421803517e-08,3.4320849421803515e-06,0.0,0.0,1.0,3.4320849421803517e-08,3.4320849421803515e-06,0.0,0.0
