country,date,Unnamed: 0,Confirmed,Deaths,Recovered,name,pop2020,PercentOfPopulationConfirmedDecimal,PercentOfPopulationConfirmed,MortalityDecimal,MortalityPercent,active,PercentOfPopulationActiveDecimal,PercentOfPopulationActive,PercentOfPopulationRecoveredDecimal,PercentOfPopulationRecovered,days1
Hong Kong,2020-03-01,1178,96.0,2.0,36.0,Hong Kong,7496.981,1.2805154501525348e-05,0.0012805154501525347,0.02083333333333333,2.083333333333333,60.0,8.003221563453342e-06,0.0012805154501525347,4.801932938072005e-06,0.0004801932938072005,39
Hong Kong,2020-03-02,1247,100.0,2.0,36.0,Hong Kong,7496.981,1.333870260575557e-05,0.001333870260575557,0.02,2.0,64.0,8.536769667683563e-06,0.001333870260575557,4.801932938072005e-06,0.0004801932938072005,40
Hong Kong,2020-03-03,1324,100.0,2.0,37.0,Hong Kong,7496.981,1.333870260575557e-05,0.001333870260575557,0.02,2.0,63.0,8.40338264162601e-06,0.001333870260575557,4.935319964129561e-06,0.0004935319964129561,41
Hong Kong,2020-03-04,1405,105.0,2.0,37.0,Hong Kong,7496.981,1.4005637736043347e-05,0.0014005637736043347,0.01904761904761905,1.9047619047619049,68.0,9.070317771913788e-06,0.0014005637736043347,4.935319964129561e-06,0.0004935319964129561,42
Hong Kong,2020-03-05,1492,105.0,2.0,43.0,Hong Kong,7496.981,1.4005637736043347e-05,0.0014005637736043347,0.01904761904761905,1.9047619047619049,62.0,8.269995615568452e-06,0.0014005637736043347,5.735642120474895e-06,0.0005735642120474894,43
Hong Kong,2020-03-06,1586,107.0,2.0,46.0,Hong Kong,7496.981,1.427241178815846e-05,0.0014272411788158461,0.018691588785046728,1.8691588785046729,61.0,8.136608589510897e-06,0.0014272411788158461,6.135803198647562e-06,0.0006135803198647563,44
Hong Kong,2020-03-07,1686,108.0,2.0,51.0,Hong Kong,7496.981,1.4405798814216016e-05,0.0014405798814216015,0.018518518518518517,1.851851851851852,57.0,7.603060485280674e-06,0.0014405798814216015,6.802738328935341e-06,0.0006802738328935341,45
Hong Kong,2020-03-08,1790,114.0,3.0,58.0,Hong Kong,7496.981,1.5206120970561349e-05,0.001520612097056135,0.02631578947368421,2.631578947368421,56.0,7.46967345922312e-06,0.001520612097056135,7.736447511338233e-06,0.0007736447511338232,46
Hong Kong,2020-03-09,1901,115.0,3.0,59.0,Hong Kong,7496.981,1.5339507996618905e-05,0.0015339507996618904,0.026086956521739132,2.608695652173913,56.0,7.46967345922312e-06,0.0015339507996618904,7.869834537395786e-06,0.0007869834537395786,47
Hong Kong SAR,2020-03-10,2015,120.0,3.0,65.0,,,,,0.025,2.5,55.0,,,,,1
Hungary,2020-03-04,1406,2.0,0.0,0.0,Hungary,9660.351,2.0703181488954178e-07,2.070318148895418e-05,0.0,0.0,2.0,2.0703181488954178e-07,2.070318148895418e-05,0.0,0.0,1
Hungary,2020-03-05,1493,2.0,0.0,0.0,Hungary,9660.351,2.0703181488954178e-07,2.070318148895418e-05,0.0,0.0,2.0,2.0703181488954178e-07,2.070318148895418e-05,0.0,0.0,2
Hungary,2020-03-06,1587,2.0,0.0,0.0,Hungary,9660.351,2.0703181488954178e-07,2.070318148895418e-05,0.0,0.0,2.0,2.0703181488954178e-07,2.070318148895418e-05,0.0,0.0,3
Hungary,2020-03-07,1687,4.0,0.0,0.0,Hungary,9660.351,4.1406362977908357e-07,4.140636297790836e-05,0.0,0.0,4.0,4.1406362977908357e-07,4.140636297790836e-05,0.0,0.0,4
Hungary,2020-03-08,1791,7.0,0.0,0.0,Hungary,9660.351,7.246113521133962e-07,7.246113521133964e-05,0.0,0.0,7.0,7.246113521133962e-07,7.246113521133964e-05,0.0,0.0,5
Hungary,2020-03-09,1902,9.0,0.0,0.0,Hungary,9660.351,9.316431670029379e-07,9.316431670029383e-05,0.0,0.0,9.0,9.316431670029379e-07,9.316431670029383e-05,0.0,0.0,6
Hungary,2020-03-10,2016,9.0,0.0,0.0,Hungary,9660.351,9.316431670029379e-07,9.316431670029383e-05,0.0,0.0,9.0,9.316431670029379e-07,9.316431670029383e-05,0.0,0.0,7
Hungary,2020-03-11,2133,13.0,0.0,0.0,Hungary,9660.351,1.3457067967820214e-06,0.00013457067967820216,0.0,0.0,13.0,1.3457067967820214e-06,0.00013457067967820216,0.0,0.0,8
Hungary,2020-03-12,2251,13.0,0.0,0.0,Hungary,9660.351,1.3457067967820214e-06,0.00013457067967820216,0.0,0.0,13.0,1.3457067967820214e-06,0.00013457067967820216,0.0,0.0,9
Hungary,2020-03-13,2375,19.0,0.0,0.0,Hungary,9660.351,1.966802241450647e-06,0.0001966802241450647,0.0,0.0,19.0,1.966802241450647e-06,0.0001966802241450647,0.0,0.0,10
Hungary,2020-03-14,2506,30.0,0.0,1.0,Hungary,9660.351,3.105477223343127e-06,0.0003105477223343127,0.0,0.0,29.0,3.001961315898356e-06,0.0003105477223343127,1.0351590744477089e-07,1.035159074447709e-05,11
Hungary,2020-03-15,2651,32.0,1.0,1.0,Hungary,9660.351,3.3125090382326685e-06,0.0003312509038232669,0.03125,3.125,31.0,3.2089931307878973e-06,0.0003312509038232669,1.0351590744477089e-07,1.035159074447709e-05,12
Iceland,2020-02-28,1051,1.0,0.0,0.0,Iceland,341.24300000000005,2.93046304246534e-06,0.00029304630424653404,0.0,0.0,1.0,2.93046304246534e-06,0.00029304630424653404,0.0,0.0,1
Iceland,2020-02-29,1111,1.0,0.0,0.0,Iceland,341.24300000000005,2.93046304246534e-06,0.00029304630424653404,0.0,0.0,1.0,2.93046304246534e-06,0.00029304630424653404,0.0,0.0,2
Iceland,2020-03-01,1179,3.0,0.0,0.0,Iceland,341.24300000000005,8.79138912739602e-06,0.0008791389127396019,0.0,0.0,3.0,8.79138912739602e-06,0.0008791389127396019,0.0,0.0,3
Iceland,2020-03-02,1248,6.0,0.0,0.0,Iceland,341.24300000000005,1.758277825479204e-05,0.0017582778254792038,0.0,0.0,6.0,1.758277825479204e-05,0.0017582778254792038,0.0,0.0,4
Iceland,2020-03-03,1325,11.0,0.0,0.0,Iceland,341.24300000000005,3.2235093467118735e-05,0.0032235093467118748,0.0,0.0,11.0,3.2235093467118735e-05,0.0032235093467118748,0.0,0.0,5
Iceland,2020-03-04,1407,26.0,0.0,0.0,Iceland,341.24300000000005,7.619203910409884e-05,0.007619203910409884,0.0,0.0,26.0,7.619203910409884e-05,0.007619203910409884,0.0,0.0,6
Iceland,2020-03-05,1494,34.0,0.0,0.0,Iceland,341.24300000000005,9.963574344382156e-05,0.009963574344382156,0.0,0.0,34.0,9.963574344382156e-05,0.009963574344382156,0.0,0.0,7
Iceland,2020-03-06,1588,43.0,0.0,0.0,Iceland,341.24300000000005,0.00012600991082600962,0.01260099108260096,0.0,0.0,43.0,0.00012600991082600962,0.01260099108260096,0.0,0.0,8
Iceland,2020-03-07,1688,50.0,0.0,0.0,Iceland,341.24300000000005,0.000146523152123267,0.0146523152123267,0.0,0.0,50.0,0.000146523152123267,0.0146523152123267,0.0,0.0,9
Iceland,2020-03-08,1792,50.0,0.0,0.0,Iceland,341.24300000000005,0.000146523152123267,0.0146523152123267,0.0,0.0,50.0,0.000146523152123267,0.0146523152123267,0.0,0.0,10
Iceland,2020-03-09,1903,58.0,0.0,0.0,Iceland,341.24300000000005,0.00016996685646298969,0.01699668564629897,0.0,0.0,58.0,0.00016996685646298969,0.01699668564629897,0.0,0.0,11
Iceland,2020-03-10,2017,69.0,0.0,1.0,Iceland,341.24300000000005,0.00020220194993010845,0.020220194993010844,0.0,0.0,68.0,0.00019927148688764316,0.020220194993010844,2.93046304246534e-06,0.00029304630424653404,12
Iceland,2020-03-11,2134,85.0,0.0,1.0,Iceland,341.24300000000005,0.0002490893586095539,0.02490893586095539,0.0,0.0,84.0,0.00024615889556708854,0.02490893586095539,2.93046304246534e-06,0.00029304630424653404,13
Iceland,2020-03-12,2252,103.0,0.0,1.0,Iceland,341.24300000000005,0.00030183769337393,0.030183769337392998,0.0,0.0,102.0,0.0002989072303314647,0.030183769337392998,2.93046304246534e-06,0.00029304630424653404,14
Iceland,2020-03-13,2376,134.0,0.0,1.0,Iceland,341.24300000000005,0.0003926820476903556,0.039268204769035565,0.0,0.0,133.0,0.0003897515846478902,0.039268204769035565,2.93046304246534e-06,0.00029304630424653404,15
Iceland,2020-03-14,2507,156.0,0.0,1.0,Iceland,341.24300000000005,0.000457152234624593,0.045715223462459306,0.0,0.0,155.0,0.0004542217715821277,0.045715223462459306,2.93046304246534e-06,0.00029304630424653404,16
Iceland,2020-03-15,2652,171.0,5.0,8.0,Iceland,341.24300000000005,0.0005011091802615732,0.05011091802615732,0.029239766081871343,2.9239766081871337,163.0,0.0004776654759218504,0.05011091802615732,2.344370433972272e-05,0.0023443704339722727,17
India,2020-01-30,127,1.0,0.0,0.0,India,1380004.385,7.246353786042499e-10,7.246353786042497e-08,0.0,0.0,1.0,7.246353786042499e-10,7.246353786042497e-08,0.0,0.0,1
India,2020-01-31,149,1.0,0.0,0.0,India,1380004.385,7.246353786042499e-10,7.246353786042497e-08,0.0,0.0,1.0,7.246353786042499e-10,7.246353786042497e-08,0.0,0.0,2
India,2020-02-01,175,1.0,0.0,0.0,India,1380004.385,7.246353786042499e-10,7.246353786042497e-08,0.0,0.0,1.0,7.246353786042499e-10,7.246353786042497e-08,0.0,0.0,3
India,2020-02-02,202,2.0,0.0,0.0,India,1380004.385,1.4492707572084995e-09,1.4492707572084994e-07,0.0,0.0,2.0,1.4492707572084995e-09,1.4492707572084994e-07,0.0,0.0,4
India,2020-02-03,229,3.0,0.0,0.0,India,1380004.385,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,3.0,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,5
India,2020-02-04,257,3.0,0.0,0.0,India,1380004.385,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,3.0,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,6
India,2020-02-05,285,3.0,0.0,0.0,India,1380004.385,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,3.0,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,7
India,2020-02-06,313,3.0,0.0,0.0,India,1380004.385,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,3.0,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,8
India,2020-02-07,341,3.0,0.0,0.0,India,1380004.385,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,3.0,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,9
India,2020-02-08,370,3.0,0.0,0.0,India,1380004.385,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,3.0,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,10
India,2020-02-09,399,3.0,0.0,0.0,India,1380004.385,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,3.0,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,11
India,2020-02-10,428,3.0,0.0,0.0,India,1380004.385,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,3.0,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,12
India,2020-02-11,457,3.0,0.0,0.0,India,1380004.385,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,3.0,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,13
India,2020-02-12,486,3.0,0.0,0.0,India,1380004.385,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,3.0,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,14
India,2020-02-13,515,3.0,0.0,0.0,India,1380004.385,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,3.0,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,15
India,2020-02-14,545,3.0,0.0,0.0,India,1380004.385,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,3.0,2.1739061358127495e-09,2.1739061358127495e-07,0.0,0.0,16
